"School_Type","Location","Infrastructure","Teaching_Staff","Gender","Caste","Age","Standard","Socioeconomic_Status","Dropout_Status","Dropout_Reason"
"Private","Semi-Urban","Good","Good","Female","General","10","8","Low","Dropout","Child Labour"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Interest"
"Government","Rural","Excellent","Good","Male","OBC","14","12","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","11","9","Moderate","Dropout","Health issues"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Family Support"
"Government","Rural","Excellent","Good","Male","OBC","13","11","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","10","8","Low","Dropout","Child Labour"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Interest"
"Government","Rural","Excellent","Good","Male","OBC","14","12","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","11","9","Moderate","Dropout","Health issues"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Family Support"
"Government","Rural","Excellent","Good","Male","OBC","13","11","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","10","8","Low","Dropout","Child Labour"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Interest"
"Government","Urban","Excellent","Good","Male","OBC","14","12","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","11","9","Moderate","Dropout","Health issues"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Family Support"
"Government","Rural","Excellent","Good","Male","OBC","13","11","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","10","8","Low","Dropout","Child Labour"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Interest"
"Government","Rural","Excellent","Good","Male","OBC","14","12","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","11","9","Moderate","Dropout","Health issues"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Family Support"
"Government","Rural","Excellent","Good","Male","OBC","13","11","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","10","8","Low","Dropout","Child Labour"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Interest"
"Government","Rural","Excellent","Good","Male","OBC","14","12","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","11","9","Moderate","Dropout","Health issues"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Family Support"
"Government","Rural","Excellent","Good","Male","OBC","13","11","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","10","8","Low","Dropout","Child Labour"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Interest"
"Government","Rural","Excellent","Good","Male","OBC","14","12","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","11","9","Moderate","Dropout","Health issues"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Family Support"
"Government","Rural","Excellent","Good","Male","OBC","13","11","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","10","8","Low","Dropout","Child Labour"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Interest"
"Government","Urban","Excellent","Good","Male","OBC","14","12","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","11","9","Moderate","Dropout","Health issues"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Family Support"
"Government","Rural","Excellent","Good","Male","OBC","13","11","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","10","8","Low","Dropout","Child Labour"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Interest"
"Government","Rural","Excellent","Good","Male","OBC","14","12","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","11","9","Moderate","Dropout","Health issues"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Family Support"
"Government","Rural","Excellent","Good","Male","OBC","13","11","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","10","8","Low","Dropout","Family issues"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Interest"
"Government","Rural","Excellent","Good","Male","OBC","14","12","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","11","9","Moderate","Dropout","Health issues"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Family Support"
"Government","Rural","Excellent","Good","Male","OBC","13","11","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","10","8","Low","Dropout","Child Labour"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Interest"
"Government","Rural","Excellent","Good","Male","OBC","14","12","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","11","9","Moderate","Dropout","Health issues"
"Private","Urban","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Family Support"
"Government","Rural","Excellent","Good","Male","OBC","13","11","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","10","8","Low","Dropout","Child Labour"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Interest"
"Government","Rural","Excellent","Good","Male","OBC","14","12","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","11","9","Moderate","Dropout","Health issues"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Family Support"
"Government","Rural","Excellent","Good","Male","OBC","13","11","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","10","8","Low","Dropout","Child Labour"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Interest"
"Government","Rural","Excellent","Good","Male","OBC","14","12","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","11","9","Moderate","Dropout","Health issues"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Family Support"
"Government","Rural","Excellent","Good","Male","OBC","13","11","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","10","8","Low","Dropout","Child Labour"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Interest"
"Government","Rural","Excellent","Good","Male","OBC","14","12","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","11","9","Moderate","Dropout","Health issues"
"Private","Urban","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Family Support"
"Government","Rural","Excellent","Good","Male","OBC","13","11","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","10","8","Low","Dropout","Child Labour"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Interest"
"Government","Rural","Excellent","Good","Male","OBC","14","12","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","11","9","Moderate","Dropout","Health issues"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Family Support"
"Government","Rural","Excellent","Good","Male","OBC","13","11","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","10","8","Low","Dropout","Child Labour"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Interest"
"Government","Rural","Excellent","Good","Male","OBC","14","12","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","11","9","Moderate","Dropout","Health issues"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Family Support"
"Government","Rural","Excellent","Good","Male","OBC","13","11","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","10","8","Low","Dropout","Child Labour"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Interest"
"Government","Rural","Excellent","Good","Male","OBC","14","12","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","11","9","Moderate","Dropout","Health issues"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Family Support"
"Government","Urban","Excellent","Good","Male","OBC","13","11","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","10","8","Low","Dropout","Child Labour"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Interest"
"Government","Rural","Excellent","Good","Male","OBC","14","12","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","11","9","Moderate","Dropout","Health issues"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Family Support"
"Government","Rural","Excellent","Good","Male","OBC","13","11","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","10","8","Low","Dropout","Child Labour"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Interest"
"Government","Rural","Excellent","Good","Male","OBC","14","12","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","11","9","Moderate","Dropout","Health issues"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Family Support"
"Government","Rural","Excellent","Good","Male","OBC","13","11","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","10","8","Low","Dropout","Child Labour"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Interest"
"Government","Rural","Excellent","Good","Male","OBC","14","12","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","11","9","Moderate","Dropout","Health issues"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Family Support"
"Government","Rural","Excellent","Good","Male","OBC","13","11","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","10","8","Low","Dropout","Child Labour"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Interest"
"Government","Rural","Excellent","Good","Male","OBC","14","12","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","11","9","Moderate","Dropout","Health issues"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Family Support"
"Government","Urban","Excellent","Good","Male","OBC","13","11","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","10","8","Low","Dropout","Child Labour"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Interest"
"Government","Rural","Excellent","Good","Male","OBC","14","12","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","11","9","Moderate","Dropout","Health issues"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Family Support"
"Government","Rural","Excellent","Good","Male","OBC","13","11","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","10","8","Low","Dropout","Child Labour"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Interest"
"Government","Rural","Excellent","Good","Male","OBC","14","12","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","11","9","Moderate","Dropout","Health issues"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Family Support"
"Government","Rural","Excellent","Good","Male","OBC","13","11","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","10","8","Low","Dropout","Child Labour"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Interest"
"Government","Rural","Excellent","Good","Male","OBC","14","12","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","11","9","Moderate","Dropout","Health issues"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Family Support"
"Government","Rural","Excellent","Good","Male","OBC","13","11","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","10","8","Low","Dropout","Child Labour"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Interest"
"Government","Rural","Excellent","Good","Male","OBC","14","12","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","11","9","Moderate","Dropout","Health issues"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Family Support"
"Government","Rural","Excellent","Good","Male","OBC","13","11","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","10","8","Low","Dropout","Child Labour"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Interest"
"Government","Rural","Excellent","Good","Male","OBC","14","12","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","11","9","Moderate","Dropout","Health issues"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Family Support"
"Government","Rural","Excellent","Good","Male","OBC","13","11","High","Enrolled","N/A"
"Private","Semi-Urban","Good","Good","Female","General","10","8","Low","Dropout","Child Labour"
"Private","Rural","Basic","Poor","Male","ST","12","10","Low","Dropout","Lack of Interest"
